TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-05-08T10:00:00,1847,59,,51.134,16.8842
04,kujawsko-pomorskie,2020-05-08T10:00:00,571,31,,53.1648,18.4834
06,lubelskie,2020-05-08T10:00:00,384,14,,51.2494,23.1011
08,lubuskie,2020-05-07T23:59:59,92,,1,52.2275,15.2559
10,łódzkie,2020-05-07T23:59:59,1157,39,,51.4635,19.1727
12,małopolskie,2020-05-08T10:00:00,1028,33,,49.7225,20.2503
14,mazowieckie,2020-05-07T23:59:59,2709,217,,51.8927,21.0022
16,opolskie,2020-05-08T10:00:00,468,32,,50.8004,17.938
18,podkarpackie,2020-05-08T10:00:00,370,27,,50.0575,22.0896
20,podlaskie,2020-05-07T23:59:59,381,7,,53.0697,22.9675
22,pomorskie,2020-05-08T10:00:00,477,22,,54.2944,18.1531
24,śląskie,2020-05-08T10:00:00,3134,143,,50.5717,19.322
26,świętokrzyskie,2020-05-08T10:00:00,311,10,,50.6261,20.9406
28,warmińsko-mazurskie,2020-05-08T10:00:00,157,1,,53.8671,20.7028
30,wielkopolskie,2020-05-08T10:00:00,1650,105,,52.28,17.3523
32,zachodniopomorskie,2020-05-08T10:00:00,464,16,,53.4658,15.1823
XX,nieokreślono,2020-05-08T09:20:00,,,5183,52.0693,19.4803
