TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-04-28T10:01:00,1436,41,,51.134,16.8842
04,kujawsko-pomorskie,2020-04-28T10:01:00,499,26,,53.1648,18.4834
06,lubelskie,2020-04-28T10:01:00,356,13,,51.2494,23.1011
08,lubuskie,2020-04-27T23:59:59,87,,1,52.2275,15.2559
10,łódzkie,2020-04-27T23:59:59,890,23,,51.4635,19.1727
12,małopolskie,2020-04-28T10:01:00,849,29,,49.7225,20.2503
14,mazowieckie,2020-04-27T23:59:59,2376,179,,51.8927,21.0022
16,opolskie,2020-04-28T10:01:00,376,25,,50.8004,17.938
18,podkarpackie,2020-04-28T10:01:00,317,19,,50.0575,22.0896
20,podlaskie,2020-04-27T23:59:59,365,3,,53.0697,22.9675
22,pomorskie,2020-04-28T10:01:00,392,7,,54.2944,18.1531
24,śląskie,2020-04-28T10:01:00,2001,102,,50.5717,19.322
26,świętokrzyskie,2020-04-28T10:01:00,264,10,,50.6261,20.9406
28,warmińsko-mazurskie,2020-04-27T23:59:59,146,1,,53.8671,20.7028
30,wielkopolskie,2020-04-28T10:01:00,1359,83,,52.28,17.3523
32,zachodniopomorskie,2020-04-28T10:01:00,376,9,,53.4658,15.1823
XX,nieokreślono,2020-04-28T09:01:00,,,2654,52.0693,19.4803
