TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-04-17T10:00:00,862,28,,51.134,16.8842
04,kujawsko-pomorskie,2020-04-17T10:00:00,387,13,,53.1648,18.4834
06,lubelskie,2020-04-17T10:00:00,287,10,,51.2494,23.1011
08,lubuskie,2020-04-16T23:59:59,81,,1,52.2275,15.2559
10,łódzkie,2020-04-16T23:59:59,590,10,,51.4635,19.1727
12,małopolskie,2020-04-17T10:00:00,585,15,,49.7225,20.2503
14,mazowieckie,2020-04-16T23:59:59,1846,94,,51.8927,21.0022
16,opolskie,2020-04-17T10:00:00,238,10,,50.8004,17.938
18,podkarpackie,2020-04-17T10:00:00,251,15,,50.0575,22.0896
20,podlaskie,2020-04-17T10:00:00,288,2,,53.0697,22.9675
22,pomorskie,2020-04-17T10:00:00,185,2,,54.2944,18.1531
24,śląskie,2020-04-17T10:00:00,1203,64,,50.5717,19.322
26,świętokrzyskie,2020-04-17T10:00:00,180,6,,50.6261,20.9406
28,warmińsko-mazurskie,2020-04-17T10:00:00,137,1,,53.8671,20.7028
30,wielkopolskie,2020-04-17T10:00:00,866,46,,52.28,17.3523
32,zachodniopomorskie,2020-04-17T10:00:00,228,2,,53.4658,15.1823
XX,nieokreślono,2020-04-17T10:00:00,,,865,52.0693,19.4803
