TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-04-16T17:34:00,819,28,,51.134,16.8842
04,kujawsko-pomorskie,2020-04-16T17:34:00,367,13,,53.1648,18.4834
06,lubelskie,2020-04-16T10:01:00,279,10,,51.2494,23.1011
08,lubuskie,2020-04-16T10:01:00,81,,1,52.2275,15.2559
10,łódzkie,2020-04-16T17:34:00,590,10,,51.4635,19.1727
12,małopolskie,2020-04-16T17:34:00,575,15,,49.7225,20.2503
14,mazowieckie,2020-04-16T17:34:00,1846,94,,51.8927,21.0022
16,opolskie,2020-04-16T17:34:00,230,9,,50.8004,17.938
18,podkarpackie,2020-04-16T17:34:00,246,15,,50.0575,22.0896
20,podlaskie,2020-04-16T17:34:00,278,2,,53.0697,22.9675
22,pomorskie,2020-04-16T10:01:00,181,2,,54.2944,18.1531
24,śląskie,2020-04-16T17:34:00,1070,63,,50.5717,19.322
26,świętokrzyskie,2020-04-16T17:34:00,175,5,,50.6261,20.9406
28,warmińsko-mazurskie,2020-04-16T17:34:00,129,1,,53.8671,20.7028
30,wielkopolskie,2020-04-16T17:34:00,829,45,,52.28,17.3523
32,zachodniopomorskie,2020-04-16T10:01:00,223,2,,53.4658,15.1823
XX,nieokreślono,2020-04-16T10:01:00,,,773,52.0693,19.4803
